owner,quantity,price
Sylvia Ball,46,$6822.33
Jean Newman,37,$9339.65
Vernon Wilson,60,$5155.00
Mark Peters,49,$4181.94
Jim Salazar,39,$4648.53
Milton Simon,54,$3123.59
Ida Austin,58,$6513.77
Anne Manning,65,$9099.84
Rhoda Stanley,58,$1903.85
Rebecca Blake,51,$1247.58
Elmer Santos,47,$5755.03
Mitchell Reeves,37,$7691.34
Martin Swanson,51,$3441.51
Alta Potter,57,$2564.07
Willie Kennedy,43,$7220.80
Cora Hammond,64,$9517.21
Elnora Little,42,$1421.21
Ora Woods,49,$8944.74
Frederick Robbins,42,$4194.64
Leon Quinn,22,$8763.12
Rebecca Garner,24,$4011.12
Bernard Glover,45,$2969.73
Eula Boyd,48,$5674.81
Olga Barker,18,$8159.35
Bess Guzman,31,$418.96
Elnora Horton,53,$699.98
Ophelia Powell,44,$6883.46
Jim Wallace,25,$2269.12
Olive Drake,20,$4418.53
Victor Vega,48,$4493.91
Luke Rogers,65,$5624.81
Effie Reeves,40,$4629.98
Josie Powers,51,$5523.78
Lawrence Rodgers,56,$1014.74
Samuel Holt,32,$422.75
Nathaniel Lindsey,21,$1469.79
Rhoda Poole,57,$369.07
Herman Farmer,49,$5700.93
Jordan Harrington,59,$5876.80
Jeremy Moreno,20,$8268.46
Minerva Bryan,34,$868.70
Joshua Holloway,23,$5897.83
Jeremiah Morton,26,$7905.51
Gertrude Bowen,24,$617.36
Ricky Tucker,43,$3083.25
Luke Walters,24,$2326.98
Jordan Boyd,50,$8832.80
Alice Gill,64,$729.29
Phillip Ross,62,$8917.41
Mae Crawford,43,$9276.78
Marvin Watts,44,$7792.49
Mildred Pratt,42,$9619.66
Maude Gutierrez,61,$2598.02
Sally McKinney,41,$1907.11
Arthur Wagner,38,$8841.72
Corey Walsh,41,$4095.90
Darrell Wong,45,$9827.07
Louise Valdez,37,$7883.35
Cecelia Moore,56,$1784.42
Leon Zimmerman,39,$6166.07
Nathan Harrison,62,$1956.80
Philip Martin,33,$1774.64
Gilbert Frank,59,$4677.40
Eliza Kennedy,64,$3405.05
Mike Mendoza,24,$7979.57
Ann Mason,37,$9289.48
Della Thomas,30,$8071.51
Charlotte Park,33,$1934.88
Albert Wallace,37,$6276.44
Albert Kennedy,44,$2228.15
Rosalie Stephens,43,$2683.83
Ophelia Cohen,50,$232.28
Julian Harper,28,$8429.51
Lina Hernandez,64,$4089.87
Cory Morris,49,$1290.73
Eula Maldonado,37,$5834.68
Blake Boyd,45,$5714.41
Christina Collins,63,$3890.63
Olive Ferguson,55,$5605.74
Blake Stevenson,55,$2022.80
Floyd Daniel,19,$5319.54
Sam Wallace,55,$7774.66
Violet Gordon,45,$8795.32
William Bennett,29,$4856.64
Corey Bridges,40,$8914.25
Herbert Wheeler,35,$7328.42
Lou Robbins,30,$7355.21
Jane Cohen,59,$3946.92
Jeffery Gomez,36,$7117.99
Cecilia Graham,49,$5990.30
Lois Watkins,28,$8264.64
Charles Holmes,27,$2879.73
Adrian Cortez,27,$23.61
Lloyd Summers,31,$125.22
Maggie Frazier,48,$3042.22
Mina Cruz,46,$4300.71
Lucille Moreno,55,$6996.14
Caleb Thornton,33,$8694.67
Ricky Todd,18,$6985.17
Gavin Newman,63,$2115.68
Andre Warren,55,$7118.53
Carolyn Poole,53,$2655.16
Elijah Massey,23,$115.89
Eugene Jefferson,62,$4483.90
Alex Saunders,28,$5028.57
Eula Christensen,38,$3199.38
Annie Cannon,32,$7542.89
Nelle Franklin,19,$1379.71
Eleanor Simmons,27,$4628.06
Winnie Fernandez,30,$7157.92
Keith Moss,59,$1023.90
Vernon Ray,38,$6013.38
Tommy Wells,25,$8590.72
Ivan Tyler,21,$17.98
Vera Woods,38,$2832.51
Laura Rodriguez,34,$8821.81
Norman Morgan,49,$1744.19
Sylvia Dixon,61,$2188.67
Bettie Frank,62,$5268.96
Owen Mack,19,$2960.59
Ernest Kennedy,52,$3138.40
Johanna Arnold,22,$5029.45
Jeff Lee,28,$5478.95
Lura Clarke,57,$9155.27
Kathryn Fitzgerald,33,$8559.10
Erik Nash,54,$8649.45
Harvey Evans,55,$9706.18
Helen Carter,58,$1537.85
Winnie Wheeler,55,$1708.22
Cory Butler,52,$7832.95
Eva Baker,18,$5811.45
Helen Simon,56,$4965.93
Alice Murphy,30,$3975.77
Noah Guerrero,31,$8484.01
Manuel Simon,48,$2110.64
Wesley Garza,63,$6645.13
Amelia Chavez,28,$7897.84
Nathan Klein,60,$8941.06
Jackson Owens,37,$6726.11
Eric Blake,54,$350.84
Lelia Miller,57,$8513.68
Helena Vasquez,29,$5361.52
Hester Rowe,21,$3998.62
Dennis Richards,19,$9394.18
Edgar Munoz,51,$1770.03
Donald Strickland,53,$8489.13
Jeff Craig,39,$7696.73
Margaret Garcia,41,$3472.20
Ora Saunders,61,$2918.96
Fanny Chapman,47,$4850.08
Glen Ramirez,32,$5568.27
Lilly Patton,45,$196.94
Ruby Jacobs,40,$1676.33
Frank Butler,61,$8663.96
Lizzie Clayton,26,$8513.83
Fanny Hunter,57,$605.92
Ernest Fields,46,$4189.87
Austin Moran,37,$2831.33
Callie Arnold,43,$9086.81
Logan Franklin,44,$5934.51
Ada Arnold,34,$6661.12
Henrietta Newman,27,$1104.85
Gilbert Lowe,51,$3334.22
Georgia White,37,$3285.00
Ruth Harris,55,$8906.79
Jose Gregory,37,$5893.49
William Rivera,43,$6387.96
Curtis Douglas,59,$2978.64
Lina Alvarado,41,$7017.78
Calvin Price,64,$4135.19
Mattie Wong,27,$4327.88
Gussie Pearson,21,$2612.09
Max Singleton,63,$3099.08
Rosie Guerrero,42,$5862.33
Angel Brewer,56,$5511.75
Iva Love,33,$5195.83
Elmer Jacobs,38,$168.10
Peter Jackson,47,$9540.62
Hester Stevenson,39,$866.00
Eva Sutton,38,$2673.54
Kevin Snyder,51,$3982.49
Anthony Fuller,42,$1530.15
Lenora Cobb,31,$4320.27
Alex Lynch,64,$1356.46
Tommy Harvey,49,$3032.87
Johanna Alexander,52,$1143.84
Ryan Byrd,30,$8035.23
Seth Carroll,59,$4685.48
Jonathan Joseph,42,$6864.71
Rhoda Pearson,65,$3759.08
Theresa Davis,51,$695.64
Helena James,19,$7695.29
Christian Frazier,29,$6526.20
Linnie Hodges,50,$6229.64
Amanda May,25,$1682.62
Linnie Brewer,24,$2735.03
Eunice Higgins,57,$7109.24
Sophia Lawrence,26,$5857.84
Susan Kim,56,$3179.18
Mildred Holland,22,$9560.21
Gertrude Wright,21,$1367.96
Lucille Harmon,60,$2860.32
Dale Hamilton,41,$762.01
Benjamin Ruiz,18,$6340.96
Jorge Berry,55,$8830.98
Rodney Gutierrez,27,$1939.52
Danny Watts,53,$6.07
Lula Wells,26,$5948.38
Eugene Thompson,24,$2779.27
Annie Hawkins,40,$3537.25
Roy Fernandez,39,$280.06
Annie Dunn,35,$262.29
Willie Clarke,18,$4590.71
Jayden Cunningham,23,$8143.26
Michael Riley,18,$3367.58
Pauline Valdez,63,$1677.86
Myrtie Underwood,29,$4905.12
Katie Coleman,61,$5664.99
Nina Hale,39,$7141.52
Clarence Strickland,21,$2460.76
Phillip Sparks,39,$8606.93
Chad Colon,26,$4148.17
Oscar Moody,28,$9347.40
Katherine Harmon,41,$3022.56
Addie Shaw,28,$6367.14
Lena Simon,49,$9378.20
Lora Sullivan,52,$1681.93
Bobby Sullivan,23,$4056.08
Gerald Thornton,61,$1664.50
Mattie Carson,20,$1821.75
Jorge Waters,64,$9268.35
Dollie Yates,37,$6426.48
Della Rodgers,32,$7899.69
Troy Kelley,62,$3020.44
Mason Colon,20,$6852.95
Isabella Hall,41,$817.77
Sarah Hardy,27,$7065.20
Claudia Nash,25,$8321.72
Carrie Scott,55,$625.43
Anne Moss,52,$4340.94
Emma Schneider,50,$258.41
Glen Morris,65,$2351.03
Franklin Tran,44,$1063.59
Viola Bowman,30,$7080.15
Addie Carroll,55,$1335.44
Max Vega,39,$8947.34
Annie Walker,30,$4719.76
Aiden Goodman,51,$6732.32
Rosalie Diaz,47,$5927.28
Mike Gordon,60,$3790.89
Nellie Schultz,30,$340.77
Manuel Carroll,65,$3755.06
Gene Sandoval,27,$2604.59
Clyde Long,38,$9414.66
Flora Leonard,63,$6433.52
Henrietta Sharp,21,$4054.17
Seth Crawford,48,$7268.64
Sally Casey,59,$5692.89
Leah Love,61,$9552.08
Jeremiah Watson,40,$219.76
Noah Alvarado,38,$5557.11
Marguerite Holt,19,$3554.04
Ruby Aguilar,28,$2219.68
Adelaide Hammond,63,$8458.78
Charlie Adkins,59,$1401.43
Earl Pope,59,$5107.29
Rachel Hughes,32,$5903.38
Verna Sims,33,$4829.20
Edward Holt,57,$4301.05
Roxie Gibbs,53,$6886.11
Fanny Beck,43,$3822.37
Eva Woods,48,$7514.77
Nora Meyer,53,$3198.06
Mamie Hanson,48,$3973.28
Mattie Brady,50,$140.44
Calvin Harper,24,$1957.59
Eunice Hughes,18,$4986.88
Harry Marsh,18,$1543.56
Antonio Hawkins,52,$8129.83
Clayton Ramos,53,$4481.32
Mittie Schneider,43,$3316.37
Mabelle Wise,32,$1095.49
Dollie Pearson,64,$6928.31
Bertha Caldwell,36,$616.04
Lelia Pena,44,$5557.73
Mason Lawson,41,$2282.07
Lois Watkins,35,$7835.19
Jayden Rogers,25,$7204.55
Michael Walton,33,$270.71
Harvey Hall,22,$5017.82
Dale Tate,50,$5250.93
Roxie Curry,24,$3684.17
Dollie Kennedy,21,$6960.75
Betty Bailey,25,$8775.48
Ricky Mann,19,$8443.79
Leroy Carson,43,$2978.55
Johanna Christensen,62,$8489.08
David Waters,38,$7542.77
Jeremy Lindsey,49,$4247.52
Eunice Barker,63,$5693.94
Jeremiah French,57,$6289.36
Maud Perry,20,$1671.71
Rosetta Phillips,37,$8384.59
Grace Ferguson,49,$1975.55
Mario Guerrero,64,$9981.30
Ronnie Cain,60,$7312.47
Sallie Wilkerson,24,$3887.81
Ina Price,33,$3333.39
Cecelia Bell,65,$2919.15
Gavin Morgan,25,$5836.29
Ian Coleman,52,$4687.46
Clyde Luna,21,$9041.34
Rosie Thomas,26,$1467.25
Emma Park,19,$6512.48
Lydia Bryan,29,$6340.45
Hilda Estrada,46,$8569.30
Dennis Maldonado,51,$228.29
Mittie Gregory,54,$539.02
Mae Norton,20,$6583.22
Sally Shaw,58,$950.67
Marguerite Hansen,36,$4533.62
Chad Lowe,61,$9586.53
Jesse Beck,38,$967.06
George Rivera,33,$7699.31
Phillip Chavez,31,$4671.26
Anthony Sims,45,$662.99
Rena Ballard,59,$5629.03
Aiden Gilbert,32,$7749.66
Lucile Brock,41,$1323.07
Isaac Boyd,63,$7247.64
Ryan Cooper,50,$6211.13
Lora Mendoza,61,$1844.11
Francis Hoffman,44,$2580.90
Johanna Norman,56,$2275.95
Lewis Poole,27,$38.67
Fannie Curtis,33,$8883.86
Martin Hammond,42,$2600.82
Rhoda Schmidt,37,$8995.16
Rosalie Moore,27,$2435.83
Todd Rogers,24,$0.37
Carlos Houston,25,$9642.25
Blake Cole,59,$9823.34
Noah Morgan,25,$1414.22
Patrick Gomez,35,$182.86
Fannie Nunez,35,$4952.64
Ivan Fitzgerald,25,$6609.32
Anne Rios,46,$1498.03
Chris Freeman,46,$9270.48
Gene Holmes,26,$3924.26
Lola Foster,33,$76.04
Timothy Shelton,56,$6442.76
Harriett Hall,63,$7232.25
Dorothy Bowman,56,$7250.33
Hettie Chapman,59,$7245.50
Mildred Holmes,18,$7955.00
Gary Flores,54,$6177.25
Frederick Mack,26,$9819.82
Vernon Sharp,50,$6331.04
Mabelle Warren,60,$6464.28
Lizzie Fitzgerald,35,$3849.21
Eugene Bailey,42,$5783.01
Gavin Ballard,34,$4954.97
Michael Munoz,59,$842.13
Nannie Lawrence,46,$9356.24
Billy West,31,$7587.72
Johanna Lyons,55,$7236.29
Rhoda Tyler,22,$6114.72
Lela Oliver,45,$5328.24
Carrie Ballard,55,$9089.79
Isaiah Carlson,45,$7092.07
Chad Potter,52,$5865.11
Roger Stewart,43,$9797.77
Madge McCoy,65,$6372.25
Gregory Cross,51,$610.91
Ola Vega,59,$8488.76
Jennie Mills,18,$161.79
Fannie Hall,55,$9393.34
Agnes Gordon,59,$4497.14
Bess Dunn,52,$2418.11
Louis Soto,55,$9764.34
Donald Copeland,60,$5361.03
Callie Baldwin,51,$4499.07
Clayton Floyd,35,$5740.31
Douglas Hogan,50,$6493.07
Alice Lane,24,$3089.74
Grace Robinson,53,$8292.46
Myrtie Pena,25,$665.20
Frances Lyons,23,$5652.54
Philip Schneider,34,$1167.42
Lucas Olson,62,$471.37
Cory Owen,48,$9851.10
Luis Murphy,59,$6521.26
Lina White,63,$9154.64
Leo Carter,36,$9885.54
Carrie Kim,56,$2540.37
Mike Hill,36,$2496.82
Genevieve Shelton,26,$3066.93
Ray Frank,29,$3313.80
Lillie Little,46,$8923.01
Harry Hammond,51,$288.96
Isaac Vasquez,27,$9184.50
Fred Fletcher,26,$8558.98
Jeffery Goodwin,19,$2720.87
Robert Carson,37,$1180.86
Lewis Greer,22,$6218.21
Hulda Rowe,26,$7044.53
Ina Craig,37,$898.95
Ricky Moreno,27,$5997.03
Virginia Bell,39,$9368.63
Hulda Jennings,19,$2516.23
Julia Warner,19,$4435.79
Allen Holland,22,$5502.42
Flora Figueroa,19,$6700.57
Elmer Burke,55,$330.53
Catherine Carter,22,$7036.95
Jane Carter,22,$1756.15
Juan Mitchell,57,$1010.59
Adrian Howard,19,$6514.77
Rosetta Dawson,64,$2261.91
Bess Cortez,51,$7100.82
Anthony Walters,52,$6195.65
Josephine Ortiz,30,$4947.80
Beulah Zimmerman,18,$7969.19
Evan Patrick,34,$388.24
Wayne Perkins,48,$6044.85
John Mills,26,$7519.37
Daisy Greer,63,$5618.83
Leila Austin,33,$3428.67
Ian Douglas,65,$9061.77
Donald Townsend,35,$9197.76
Ethel Salazar,57,$2505.38
Gordon Ramirez,51,$5361.35
Theodore Hoffman,54,$576.60
Lee Greer,53,$9822.47
Phoebe Ross,57,$9673.71
Eugenia Cox,50,$2071.40
Dorothy Bryant,57,$7914.18
Carrie Lopez,20,$9690.65
Connor Alexander,38,$7673.91
Janie Underwood,20,$986.66
Nelle Rios,28,$1191.85
Birdie Austin,27,$6432.81
Albert Alvarez,26,$7185.42
Rodney Clayton,20,$6279.67
Sadie Lucas,55,$5152.50
Bryan Carson,25,$8381.17
Agnes Morgan,48,$7104.61
Adrian Hopkins,18,$1422.21
Chase Bradley,59,$5214.87
Minnie Griffith,27,$621.68
Adam Miles,27,$4015.33
Alberta Hampton,47,$7610.69
Helena Taylor,24,$4779.53
Milton Meyer,22,$1625.71
Kate Bowers,21,$2178.90
Milton Hogan,23,$4979.43
Augusta George,38,$8382.58
Herman Cruz,53,$7592.78
Hilda Freeman,64,$5468.37
Lucas Boyd,39,$4929.14
Olga Phillips,48,$5551.82
Rena Dennis,41,$6139.21
Maud Jefferson,27,$5704.10
Lou Griffin,31,$7167.47
Floyd Watts,53,$6342.04
Helen Jennings,20,$1618.63
Minnie Nichols,60,$9564.63
Lucile Tate,30,$1399.06
Catherine Pearson,49,$5141.65
Francis Cohen,55,$4405.83
Leona Matthews,54,$8283.01
Sarah Byrd,56,$6589.42
Stephen Fuller,50,$599.62
Jerome Vaughn,51,$8935.96
Elizabeth Steele,56,$4928.96
Jeanette Newman,24,$5093.73
Delia Burgess,22,$2111.96
Phoebe Rodriquez,34,$9205.93
Eula Simpson,63,$3172.44
Ronnie Cook,63,$9579.44
Lucy Sanchez,51,$7031.93
Glenn Watts,47,$452.64
Della Elliott,20,$9081.61
Ophelia Owen,43,$3099.37
Violet Francis,41,$6096.97
Dylan Roy,44,$8290.10
Leroy Perkins,56,$4153.29
Madge Simon,53,$5976.95
Brett Harvey,19,$3677.17
Jeffrey West,25,$6596.73
Katie Nelson,41,$4444.69
Brian Gray,63,$7183.71
Scott Mack,27,$3818.11
Louis Lindsey,59,$9318.45
Herbert Henry,37,$6061.42
Matilda Page,45,$3033.44
Sue Reed,55,$2758.51
Jacob Erickson,56,$5119.05
Lizzie Figueroa,26,$8866.85
Nina Torres,47,$538.87
Wayne Harmon,30,$2977.76
Sue McDonald,60,$9088.92
James Holt,35,$6705.85
Jerry Newman,38,$5894.23
Rodney Castro,55,$1654.47
Roy Morton,22,$5422.92
Birdie Norris,41,$4619.74
Austin Tate,43,$8335.06
Virgie Hart,59,$7148.20
Sean Hale,45,$3542.79
Mason Santiago,39,$828.00
Amanda Lucas,52,$8428.54
Floyd Manning,44,$7253.75
Bill Reyes,33,$8309.13
Loretta Moody,38,$8446.25
Jayden Bridges,25,$7476.06
Jordan Doyle,37,$3310.81
Bertie Hughes,26,$5373.20
Calvin Bryan,36,$6716.00
Adam Owen,58,$1951.44
Ricky Coleman,56,$7285.75
Elijah Coleman,64,$8212.78
Virginia Pratt,18,$7204.10
James Dunn,56,$98.25
Dennis Watson,30,$6019.32
Nell Brewer,25,$331.87
Dylan West,37,$7759.04
Linnie Ramirez,36,$3631.08
Rosalie Fitzgerald,25,$8769.06
Willie Davidson,23,$7510.90
Shane Luna,49,$7649.12
Jerry Pena,35,$337.66
Georgia Taylor,31,$8367.69
Cory Welch,40,$6159.32
Bryan Nunez,48,$1409.89
Micheal Taylor,50,$4826.71
Cecilia Dixon,25,$4913.60
Aaron Cobb,36,$2272.88
Mayme Harmon,33,$4361.15
Lydia Griffith,18,$1297.76
Olive Stokes,50,$2331.67
Emily Warren,61,$2728.71
Maurice Miller,29,$7642.27
Harry Park,28,$4768.62
Tommy James,19,$7544.55
Blake Brock,27,$7312.71
Shane Johnston,55,$9317.09
Clifford Luna,31,$3205.55
Calvin Steele,26,$140.96
Elnora Roberson,48,$9564.58
Rosalie Rios,28,$9442.92
Derek Ingram,37,$8567.04
Shane Harrington,41,$9263.43
Lewis Elliott,45,$1155.30
Jon Patterson,59,$8162.13
Janie Mills,60,$982.39
David Lloyd,31,$3848.75
Ruby Terry,52,$5868.00
Billy Gill,57,$2559.80
Milton Rivera,56,$9482.77
Amelia Reid,30,$8624.71
Claudia Carroll,54,$2989.97
Tillie Miles,33,$3862.47
Ian Fitzgerald,42,$4513.60
Lelia Figueroa,33,$6238.25
Chris Ballard,55,$125.58
Mabel Gregory,34,$8269.11
Rhoda Silva,50,$740.92
Clara Logan,57,$9486.00
Jeff Cortez,50,$7935.62
Terry Jensen,60,$6218.26
Barry Harper,34,$7970.87
Frances Bush,34,$1848.45
Johnny Waters,37,$5237.36
Minerva Hughes,30,$1497.82
Marvin Blair,34,$2866.65
Theresa Floyd,46,$9894.51
Jon Potter,64,$5552.61
Jimmy Hampton,20,$6725.06
Richard Porter,23,$7555.39
Francisco Wood,64,$2951.64
Charlie Weber,35,$8017.14
Irene Barton,18,$241.38
Millie Richards,54,$4933.24
Ralph Sparks,63,$3087.10
Eugenia Collins,26,$4968.72
Travis Cohen,60,$3538.72
Francis Freeman,42,$8511.21
Eddie Neal,35,$8444.46
Nettie Stokes,46,$3062.19
Alta Cain,56,$4331.37
Katherine Christensen,42,$4206.60
Gordon Bell,27,$3694.72
Pauline Carson,30,$7317.55
Marion Newton,29,$5000.55
Jonathan Mason,24,$8469.03
Oscar Carlson,62,$5910.23
Sallie McDonald,35,$6972.64
Nannie McGuire,33,$8975.87
Lilly Williams,42,$1386.22
Ronnie Bowers,21,$8418.41
Joseph Burns,19,$7780.82
Bertha Cannon,28,$9138.32
Jean McDaniel,58,$6936.63
Alma Bell,64,$4977.30
Caroline Zimmerman,50,$3101.63
Gary Wilkins,57,$2861.80
Estella Holmes,37,$9133.77
Alfred Long,24,$6664.16
Justin Malone,58,$925.19
Christopher Robbins,50,$9804.24
Jack Lawrence,57,$8543.32
Susan Johnston,52,$1619.50
Millie Gray,55,$4315.43
Gene Sims,55,$4506.64
Mittie Thompson,63,$7566.47
Gavin Casey,23,$2051.35
Josie James,21,$5549.12
Duane Clayton,47,$3174.40
Elva Quinn,57,$5972.53
Daniel Park,29,$4861.30
Kevin Tran,62,$6540.02
Chris Romero,32,$4462.24
Fanny Jefferson,48,$6603.68
Calvin Powers,32,$9384.28
Jimmy Norton,63,$9892.71
Genevieve Greene,48,$7963.14
Wayne Matthews,24,$1848.10
Jeremy Rivera,46,$3740.05
Jeffrey Barker,55,$9798.76
Agnes Bryan,36,$463.23
Genevieve Hanson,31,$8174.29
Ellen Peterson,43,$7268.59
Dylan Perry,65,$8251.02
Vera George,38,$8397.07
Annie Wright,62,$6649.23
Ruby Moran,26,$8415.72
Johanna Allison,63,$9985.99
Joel Reyes,36,$3139.00
Edna Shelton,29,$7302.67
Emily Vasquez,47,$9130.81
Katherine Stevenson,56,$9607.56
Rosalie Hale,30,$3041.87
Irene Kelly,55,$8156.46
Minerva Ramsey,63,$7255.32
Bradley Griffith,27,$6166.51
Angel Hunt,53,$6873.16
Ora Bowman,41,$9923.40
Cordelia Poole,61,$3557.72
Ruth Rogers,57,$2575.91
Christian Rodgers,32,$5052.21
Irene Howard,41,$6266.02
Rhoda Walker,19,$7379.98
Marguerite Kim,57,$6003.01
Myrtie Day,45,$1746.74
Linnie Reese,36,$3743.49
Maria Logan,19,$1144.35
Isaiah Day,64,$649.57
Dale Doyle,48,$9015.36
Lettie Francis,56,$7898.03
Michael Bell,49,$9587.33
Theodore Ortega,64,$1558.51
Alice Sanders,43,$4646.12
Eddie Martinez,63,$6571.35
Gussie Kim,35,$2229.64
Christine Miller,65,$5914.63
Helen Barker,31,$3567.42
James Valdez,45,$7911.40
Roy Bell,21,$9198.34
Cora McCarthy,57,$4376.01
Lou May,53,$9575.62
Noah Chavez,58,$3794.96
Allen Paul,62,$7185.47
Harold Greer,54,$1772.94
Myrtie Hall,20,$9811.63
Ian Jensen,18,$450.61
Eva Edwards,50,$1350.57
Victoria Webster,34,$856.46
Ian Webb,26,$6725.11
Peter Wallace,51,$9046.71
Milton Barnett,31,$7573.52
Bruce Larson,28,$6672.74
Jane Lindsey,35,$1718.48
Ada Phillips,22,$6593.60
Lucy Brock,58,$724.65
Louisa Brock,46,$1364.11
Ola Bush,51,$8572.87
Birdie Newton,60,$7783.63
Harry Bell,24,$8452.40
Maurice Fitzgerald,60,$5566.73
Lucinda Williams,63,$6192.62
Isabel Copeland,58,$4466.46
Virginia Barber,28,$6396.12
Darrell Flores,52,$4557.61
Mabel Fisher,27,$3879.76
Edward Gilbert,36,$5647.53
Lula Harrington,65,$6764.96
Edgar Maxwell,40,$7356.73
Max Zimmerman,26,$8050.07
Terry Cannon,53,$6888.90
Jonathan Wolfe,39,$6975.41
Henry Davidson,53,$1623.65
Susie Marsh,38,$5691.59
Carolyn Erickson,23,$6179.41
Celia Wright,47,$3503.25
Trevor Palmer,36,$6587.75
Eugenia Garcia,20,$3523.29
Gabriel Greene,27,$1718.05
Alta Peterson,57,$9759.80
Luis Colon,42,$9607.87
Abbie Wallace,61,$5148.72
Samuel Swanson,51,$229.80
Sean Dunn,22,$2548.59
Lula Townsend,32,$4635.70
Evelyn Harrison,27,$2875.33
Julian Henderson,48,$7156.99
Verna Crawford,35,$5152.73
Jeffery Nash,22,$5661.89
Mina Alvarez,60,$6332.10
Daniel Hopkins,46,$832.49
Dustin Ellis,51,$5287.99
Minerva Tucker,47,$8308.34
Mattie Gross,39,$419.02
Nannie Webb,34,$798.06
Brent Black,55,$8671.26
Charlie Wong,53,$3928.51
Charlotte Morgan,60,$3208.11
Ola Lane,36,$570.51
Mae Huff,18,$4878.96
Isabel Austin,29,$3101.83
Timothy Ford,45,$2890.35
Hulda Wright,45,$6018.16
Christian Young,27,$1435.45
Cecilia Snyder,65,$9074.97
Christian Phillips,47,$932.83
Christina Walton,51,$5869.18
Ida Peterson,62,$6737.45
Jack Larson,57,$7913.86
Allie Alvarado,35,$9416.71
Kate Stewart,57,$1957.41
Jeffrey Willis,56,$9789.07
Jeffery Nunez,55,$776.15
Brent Hardy,50,$9707.93
Stella Spencer,45,$5813.01
Rosalie Delgado,63,$4920.60
Ella Morgan,21,$7967.22
Rena Herrera,64,$7287.18
Maud Shelton,18,$2819.25
Sadie Griffin,42,$1620.66
Blake Webb,27,$1738.02
Jacob Castillo,42,$1937.55
Glen Owen,29,$2918.22
Callie Lopez,30,$4263.50
Herbert Cain,53,$2896.77
Elijah Allison,57,$8258.11
Marc Rivera,47,$3921.10
Timothy McCoy,51,$1859.93
Caroline Lopez,24,$8221.90
Hulda Hogan,25,$364.43
Roxie Pratt,43,$2656.13
Etta Ray,36,$9118.49
Derrick Reed,53,$6858.69
Susie Harris,37,$4501.80
Fred Clayton,54,$1301.11
Christopher Frazier,50,$2551.42
Vera Patton,42,$5848.27
Amy Hogan,49,$347.85
Esther Neal,43,$6391.38
Lewis Allison,62,$3763.01
Alejandro Peterson,50,$5451.88
Bryan Fitzgerald,25,$6237.42
Teresa Hudson,63,$5297.60
Ophelia Carr,50,$1374.11
Lucinda Hart,59,$5342.97
Ivan Reid,37,$2365.43
Leila Buchanan,35,$3996.13
Cordelia Gomez,30,$2008.62
Inez Tyler,56,$4581.50
Gregory Shelton,53,$9593.44
Keith Russell,61,$4444.64
Ollie Valdez,50,$3952.11
Linnie Bennett,19,$4924.02
Travis Caldwell,27,$2902.82
Eula Malone,52,$6582.66
Maud Huff,47,$4097.47
Evan Walker,31,$1169.91
Marguerite Brady,43,$6526.99
Edwin Young,56,$8503.10
Keith Lane,53,$2760.34
Cecelia Kelley,47,$3967.74
Ada Harvey,65,$8264.23
Nancy Patton,50,$3251.38
Ralph Underwood,64,$2215.28
Katie Sparks,32,$822.96
Stephen Carr,51,$1831.85
Essie Montgomery,24,$5215.15
Jesse Bradley,57,$8898.38
Stephen Hawkins,57,$5542.17
Stanley Wood,34,$1342.90
Estella Daniel,47,$2243.91
Myra Welch,41,$1941.28
Ollie Caldwell,33,$3410.72
Willie Swanson,62,$8202.85
Mario Smith,22,$4442.12
Sam Rivera,36,$6774.24
Lora Day,38,$7480.68
Millie Ingram,29,$3830.72
Phillip Moore,64,$4830.80
Maude Saunders,19,$1299.14
Louis Joseph,55,$6435.46
Gabriel Henry,38,$9957.23
Alfred Love,27,$1554.35
Addie Burke,28,$568.38
Ivan Kennedy,43,$2031.63
Nell Benson,22,$9921.19
Eugenia Lyons,23,$704.30
Douglas Green,38,$6127.87
Brett Moreno,33,$9589.03
William Wagner,22,$6037.65
Scott Roy,18,$9389.80
Alejandro Barton,35,$5980.07
Cecelia James,27,$5681.39
Myrtle Baldwin,46,$3952.36
Johanna Cortez,43,$9115.54
Blake Hoffman,50,$3382.34
Mason Becker,57,$5097.68
Emilie Pearson,61,$2864.44
Helen James,56,$3045.72
Ray Griffith,34,$4494.63
Adrian Williamson,36,$4930.59
Bertie Huff,29,$4618.97
Kathryn Robbins,51,$3971.76
Linnie Baldwin,31,$809.40
Wesley Dunn,44,$6023.83
Florence Francis,55,$9598.68
Olga Long,62,$2372.80
Tommy Lucas,35,$5879.03
Jim Watts,26,$8017.14
Nannie Burgess,60,$4155.04
Joe Jensen,39,$6567.71
John Mendez,39,$9788.02
Lula Morales,60,$6025.43
Lou Parks,61,$5436.98
Johnny Stokes,40,$696.48
Roger Burgess,51,$2752.54
Lucas McCoy,31,$3172.54
Curtis Wallace,19,$7948.70
Nelle Davidson,63,$9222.78
Lela Hart,62,$6809.52
Leo Roberts,54,$5283.32
Terry Matthews,46,$1657.74
Caleb Griffin,43,$9379.44
Della Nguyen,60,$7498.77
Georgia McCarthy,22,$1194.45
Gussie Hammond,20,$3121.86
Aiden Tyler,19,$1568.14
Randy Lynch,46,$9917.58
Jesse McGee,31,$1875.08
Mittie Jordan,44,$5250.15
Tyler Ball,43,$8846.25
Travis Nash,25,$2469.81
Lois Abbott,30,$1579.64
